FEATURE NAME,Label/Description,DType,Location
REG,,int64,Present in all
REG2,,int64,Present in all
PRV,,int64,Present in all
HHID,,int64,Present in all
URBANITY,,int64,Present in all
PSU,,int64,"Vol1 - Household, Vol2 - Household"
INTVW,,int64,"Vol1 - Household, Vol2 - Household"
RFACT,,float64,"Vol1 - Household, Vol2 - Household"
PSU_MEM,,int64,"Vol1 - Member, Vol2 - Member"
LNO,,int64,"Vol1 - Member, Vol2 - Member"
SEX,,int64,"Vol1 - Member, Vol2 - Member"
AGE,,int64,"Vol1 - Member, Vol2 - Member"
REL,,int64,"Vol1 - Member, Vol2 - Member"
MOTHER,,int64,"Vol1 - Member, Vol2 - Member"
MOTHER_LNO,,str,"Vol1 - Member, Vol2 - Member"
FATHER,,int64,"Vol1 - Member, Vol2 - Member"
FATHER_LNO,,str,"Vol1 - Member, Vol2 - Member"
ETHNICITY,,int64,"Vol1 - Member, Vol2 - Member"
MSTAT,,int64,"Vol1 - Member, Vol2 - Member"
OF,,int64,"Vol1 - Member, Vol2 - Member"
OF_PRESENT,,str,"Vol1 - Member, Vol2 - Member"
ATTEND_SCHOOL,,str,"Vol1 - Member, Vol2 - Member"
ATTEND_GRADE_LEVEL,,str,"Vol1 - Member, Vol2 - Member"
ATTEND_GRADE,,str,"Vol1 - Member, Vol2 - Member"
MODETRVL1,,str,"Vol1 - Member, Vol2 - Member"
MODETRVL2,,str,"Vol1 - Member, Vol2 - Member"
MODETRVL3,,str,"Vol1 - Member, Vol2 - Member"
NATT_REASON,,str,"Vol1 - Member, Vol2 - Member"
BASIC_LIT,,str,"Vol1 - Member, Vol2 - Member"
BASIC_NUM,,str,"Vol1 - Member, Vol2 - Member"
HGC_LEVEL,,str,"Vol1 - Member, Vol2 - Member"
HGC_GRADE,,str,"Vol1 - Member, Vol2 - Member"
DAYCARE,,str,"Vol1 - Member, Vol2 - Member"
KINDER,,str,"Vol1 - Member, Vol2 - Member"
SHS,,str,"Vol1 - Member, Vol2 - Member"
SHS_TRACK,,str,"Vol1 - Member, Vol2 - Member"
ALS,,str,"Vol1 - Member, Vol2 - Member"
WORK,,str,"Vol1 - Member, Vol2 - Member"
WORK_TYPE_MAJOR,,str,"Vol1 - Member, Vol2 - Member"
WORK_CLASS,,str,"Vol1 - Member, Vol2 - Member"
NOWORK_REASON,,str,"Vol1 - Member, Vol2 - Member"
DIFF_SEEING,,str,"Vol1 - Member, Vol2 - Member"
DIFF_HEARING,,str,"Vol1 - Member, Vol2 - Member"
DIFF_WALKING,,str,"Vol1 - Member, Vol2 - Member"
DIFF_REMEMBERING,,str,"Vol1 - Member, Vol2 - Member"
DIFF_SELFCARE,,str,"Vol1 - Member, Vol2 - Member"
DIFF_COMMUNICATING,,str,"Vol1 - Member, Vol2 - Member"
MEM_RFACT,,float64,"Vol1 - Member, Vol2 - Member"
PSU_F1,,int64,"Vol1 - RTF1, Vol2 - RTF1"
BENEFICIARY_4PS,,int64,"Vol1 - RTF1, Vol2 - RTF1"
CHILDREN_04,,int64,"Vol1 - RTF1, Vol2 - RTF1"
ADULTS,,str,"Vol1 - RTF1, Vol2 - RTF1"
GUARDIAN,,str,"Vol1 - RTF1, Vol2 - RTF1"
CHILD_FACILITY,,int64,"Vol1 - RTF1, Vol2 - RTF1"
BUILDING,,int64,"Vol1 - RTF1, Vol2 - RTF1"
ROOF,,int64,"Vol1 - RTF1, Vol2 - RTF1"
WALL,,int64,"Vol1 - RTF1, Vol2 - RTF1"
FLOOR_FINISH,,int64,"Vol1 - RTF1, Vol2 - RTF1"
FLOOR_MAIN,,int64,"Vol1 - RTF1, Vol2 - RTF1"
TENURE,,int64,"Vol1 - RTF1, Vol2 - RTF1"
ELECTRICITY,,int64,"Vol1 - RTF1, Vol2 - RTF1"
HH_REF,,int64,"Vol1 - RTF1, Vol2 - RTF1"
HH_AIRCON,,int64,"Vol1 - RTF1, Vol2 - RTF1"
HH_WASHING,,int64,"Vol1 - RTF1, Vol2 - RTF1"
HH_OVEN,,int64,"Vol1 - RTF1, Vol2 - RTF1"
HH_RADIO,,int64,"Vol1 - RTF1, Vol2 - RTF1"
HH_ANATV,,int64,"Vol1 - RTF1, Vol2 - RTF1"
HH_DIGITV,,int64,"Vol1 - RTF1, Vol2 - RTF1"
HH_AUDIO,,int64,"Vol1 - RTF1, Vol2 - RTF1"
HH_LANDLINE,,int64,"Vol1 - RTF1, Vol2 - RTF1"
HH_BASICPHONE,,int64,"Vol1 - RTF1, Vol2 - RTF1"
HH_SMARTPHONE,,int64,"Vol1 - RTF1, Vol2 - RTF1"
HH_TABLET,,int64,"Vol1 - RTF1, Vol2 - RTF1"
HH_PC,,int64,"Vol1 - RTF1, Vol2 - RTF1"
HH_CAR,,int64,"Vol1 - RTF1, Vol2 - RTF1"
HH_VAN,,int64,"Vol1 - RTF1, Vol2 - RTF1"
HH_JEEP,,int64,"Vol1 - RTF1, Vol2 - RTF1"
HH_TRUCK,,int64,"Vol1 - RTF1, Vol2 - RTF1"
HH_MOTOR,,int64,"Vol1 - RTF1, Vol2 - RTF1"
HH_EBIKE,,int64,"Vol1 - RTF1, Vol2 - RTF1"
HH_TRICYCLE,,int64,"Vol1 - RTF1, Vol2 - RTF1"
HH_BIKE,,int64,"Vol1 - RTF1, Vol2 - RTF1"
HH_PEDICAB,,int64,"Vol1 - RTF1, Vol2 - RTF1"
