Feature_Name,Training_Gain_Importance
TVOCTRAIN_5,0.1655631
HGC_LEVEL_1,0.057909083
READ_IND_F3_2,0.030569226
HGC_LEVEL_0,0.027090864
DSKILL_PROB6_1,0.025506577
DSKILL_INFO2_1,0.025119897
TVOCGRAD_5,0.015500723
MM_WORK_1,0.01284731
HGC_LEVEL_6,0.012835036
DSKILL_INFO1_1,0.010828548
READ_IND_F3_1,0.009796831
DSKILL_CONT3_1,0.0086406255
PATHWAY_OTHERS_2,0.006447895
INTERNET_1,0.0064314674
HH_WASHING_2,0.0058300584
HGC_LEVEL_2,0.005708386
HH_PC_2,0.005454078
DSKILL_CONT1_1,0.005160781
ATTEND_GRADE_10016,0.0043734973
NOWORK_REASON_ 1,0.0041678147
PATHWAY_STUDYABROAD_2,0.0039993213
READ_IND_F3_3,0.0039059976
DSKILL_CONT2_1,0.0036846534
DSKILL_SAFE2_1,0.003593398
ATTEND_GRADE_24011,0.003398073
PATHWAY_COLLEGE_2,0.0033096233
SEX_2,0.0031401878
ATTEND_GRADE_LEVEL_2,0.003080483
DSKILL_PROB3_1,0.0029565936
HH_REF_2,0.0027435515
NOWORK_REASON_ 6,0.002664564
MM_REPORTS_1,0.0025787314
PATHWAY_WORKABROAD_2,0.002535134
TOILET_LOC_1,0.002441728
MM_REPORTS_2,0.0023939167
WORK_TYPE_MAJOR_23,0.002299367
TOILET_95,0.002285596
MM_PNPAPER_2,0.0022034436
MOTHER_97,0.0021959774
MM_PNPAPER_1,0.0021866146
DRINK_WATER_72,0.002170052
FATHER_97,0.002140577
MM_OLNPAPER_4,0.0021306279
NATT_REASON_ 1,0.0021211405
