Feature_Name,In_PCA_List,In_Supervised_List,Supervised_Gain_Importance
TVOCTRAIN_5,False,True,0.13190143
HGC_LEVEL_1,False,True,0.064192064
READ_IND_F3_2,False,True,0.03600853
DSKILL_INFO2_1,True,True,0.03161224
HGC_LEVEL_0,False,True,0.027915714
DSKILL_PROB6_1,False,True,0.027330766
TVOCGRAD_5,False,True,0.014954978
READ_IND_F3_1,False,True,0.012497924
MM_WORK_1,False,True,0.011165046
DSKILL_CONT3_1,False,True,0.009833278
DSKILL_SAFE2_1,False,True,0.00902978
DSKILL_CONT1_1,False,True,0.008813918
DSKILL_INFO1_1,True,True,0.007144498
HGC_LEVEL_6,False,True,0.00702815
NOWORK_REASON_ 1,True,True,0.006602331
PATHWAY_OTHERS_2,True,True,0.006570042
HGC_LEVEL_2,False,True,0.0064511457
HH_WASHING_2,False,True,0.0063623707
HH_PC_2,False,True,0.0061340453
INTERNET_1,True,True,0.0054675997
DSKILL_CONT2_1,False,True,0.0047418145
READ_IND_F3_3,False,True,0.0042713936
PATHWAY_COLLEGE_2,True,True,0.004175555
ATTEND_GRADE_LEVEL_2,False,True,0.0039560907
ATTEND_GRADE_24011,False,True,0.0036791826
MM_REPORTS_1,False,True,0.0036607573
ATTEND_GRADE_10016,False,True,0.003572494
FATHER_97,False,True,0.0030650934
SEX_2,False,True,0.0030610473
MM_REPORTS_2,False,True,0.0029967567
MM_OLNPAPER_1,False,True,0.0029215617
WORK_TYPE_MAJOR_23,False,True,0.0026660762
HH_REF_2,False,True,0.0026384145
TOILET_LOC_1,False,True,0.0025397416
PATHWAY_STUDYABROAD_2,True,True,0.0024712344
TVOCYAT_2023,False,True,0.0024602914
ROOF_2,False,True,0.0023311486
MM_OLNPAPER_4,False,True,0.0023114544
TOILET_95,False,True,0.0022153498
DAYCARE_2,False,True,0.002211102
MM_PNPAPER_2,True,True,0.0022105668
TOILET_13,False,True,0.0021837768
DSKILL_INFO3_1,False,True,0.0021824746
MM_POSTERS_1,False,True,0.0021536192
DSKILL_CONT2_2,True,False,0.0019094051
DIFF_COMMUNICATING_1,True,False,0.001372017
DSKILL_CONT3_2,True,False,0.0013237991
ATTEND_SCHOOL_1,True,False,0.0013088331
TVOCBENE_ 1,True,False,0.0013046295
MM_REPORTS_0,True,False,0.0012310742
DSKILL_COM1_1,True,False,0.0011668201
SPORTS_1,True,False,0.0010437379
DIFF_REMEMBERING_1,True,False,0.0009810127
DIFF_SELFCARE_1,True,False,0.0009641856
MM_MAGAZINE_2,True,False,0.00095285306
MM_CONTENT_0,True,False,0.0009294638
AGE,True,False,0.00092746556
MM_MEETINGS_2,True,False,0.0008971025
INTERNET_2,True,False,0.00089327066
MM_ECOMMERCE_0,True,False,0.000885616
DSKILL_PROB3_2,True,False,0.0008785276
MM_MEETINGS_0,True,False,0.0008309339
SPORTS_2,True,False,0.0008264498
MM_OLNPAPER_2,True,False,0.00082188187
DSKILL_CONT1_2,True,False,0.0008173645
DSKILL_CONT5_2,True,False,0.00080346706
WORK_2,True,False,0.00078014133
DIFF_WALKING_1,True,False,0.0007755127
MM_GSERV_0,True,False,0.000761115
MSPORT_WHERE_1,True,False,0.0007219861
TVOCBENE_11,True,False,0.0007177721
TVOCCERT_3,True,False,0.0006621413
MM_POSTERS_2,True,False,0.00066090113
MSPORT_ 6,True,False,0.00058938016
TVOCGRAD_1,True,False,0.00047395926
ATTEND_SCHOOL_4,True,False,0.00041819675
WORK_1,True,False,0.00038872843
TVOCAT_1,True,False,0.0003884034
OF_PRESENT_2,True,False,0.0
