Feature_Name,Descriptive_Name
TVOCTRAIN_5,Attending Technical Vocational Training: No
HGC_LEVEL_1,Highest HGC_GRADE completed: Primary Education (Elementary)
READ_IND_F3_2,Q1. Reading Indicator - Form 3: Can't read anything
DSKILL_INFO2_1,Digital Skill: Information and data literacy: YES
HGC_LEVEL_0,Highest HGC_GRADE completed: No grade completed
DSKILL_PROB6_1,Digital Skill: Problem solving: YES
TVOCGRAD_5,Are you a graduate of TechVoc: No
READ_IND_F3_1,Q1. Reading Indicator - Form 3: Reads sentence
MM_WORK_1,Mass Media: Research Work or E-mail: Not at all (Hindi kahit kailan)
DSKILL_CONT3_1,Digital Skill: Digital content creation: YES
DSKILL_SAFE2_1,Digital Skill: Safety: YES
DSKILL_CONT1_1,Digital Skill: Digital content creation: YES
DSKILL_INFO1_1,Digital Skill: Information and data literacy: YES
HGC_LEVEL_6,Highest HGC_GRADE completed: Bachelor Level Education of Equivalent
NOWORK_REASON_ 1,Reason for not being employed: Still studying/planning to continue studies
PATHWAY_OTHERS_2,Pathway Plan_Others: NO
HGC_LEVEL_2,Highest HGC_GRADE completed: Lower Secondary Education (Junior High School/Old Curriculum)
HH_WASHING_2,Q13c. Washing Machine: NO
HH_PC_2,Q13m. Personal Computer: NO
INTERNET_1,Have you Used Internet in the past three (3) months?: YES  (Oo)
DSKILL_CONT2_1,Digital Skill: Digital content creation: YES
READ_IND_F3_3,Q1. Reading Indicator - Form 3: Can read before
PATHWAY_COLLEGE_2,Pathway Plan_Go to college/studies: NO
ATTEND_GRADE_LEVEL_2,Grade/Year currently attending: Lower Secondary Education (Junior High School/Old Curriculum)
ATTEND_GRADE_24011,Level 0: 24011  Grade 7 / 1st Year HS
MM_REPORTS_1,Mass Media: Writing Report: Not at all (Hindi kahit kailan)
ATTEND_GRADE_10016,Level 0: 10016  Grade 6
FATHER_97,Father Identifier: DECEASED
SEX_2,Sex of Household Member: Female
MM_REPORTS_2,Mass Media: Writing Report: Seldom (Bihira)
MM_OLNPAPER_1,Mass Media: Digital/Online Newspaper: Not at all (Hindi kahit kailan)
WORK_TYPE_MAJOR_23,Type of Job/Business (Major): Professionals
HH_REF_2,Q13a. Refrigerator/ Freezer: NO
TOILET_LOC_1,Q18. Toilet Location: IN OWN DWELLING
PATHWAY_STUDYABROAD_2,Pathway Plan_Study Abroad: NO
TVOCYAT_2023,Needs Manual Label
ROOF_2,Q7. Main Material of the Roof: CONCRETE/CLAY/SLATE TILE
MM_OLNPAPER_4,Mass Media: Digital/Online Newspaper: araw)
TOILET_95,Q17. Kind of toilet facility used: NO FACILITY/BUSH/FIELD
DAYCARE_2,"Early Childhood: YES, PRIVATE"
MM_PNPAPER_2,Mass Media:  Printed Newspaper: Seldom (Bihira)
TOILET_13,Q17. Kind of toilet facility used: FLUSH/POUR FLUSH TO PIT LATRINE
DSKILL_INFO3_1,Digital Skill: Information and data literacy: YES
MM_POSTERS_1,"Mass Media: Posters, Signs, Brochure, Flyers: Not at all (Hindi kahit kailan)"
