feature_name,count_missing,column_skip_logic,remarks,remarks2
REG,0,,,
REG2,0,,,
PRV,0,,,
HHID,0,,,
URBANITY,0,,,
PSU_MEM,0,,,
LNO,0,,,
SEX,0,,,
AGE,0,,,
REL,0,,,
MOTHER,0,,,
MOTHER_LNO,0,,,
FATHER,0,,,
FATHER_LNO,0,,,
ETHNICITY,0,,,
MSTAT,0,,,
OF,0,,,
OF_PRESENT,489189,OF,,
ATTEND_SCHOOL,258434,4,,
ATTEND_GRADE_LEVEL,352687,ATTEND_SCHOOL,if attend_school is missing or =4 (NO); NOT_APPLICABLE,
ATTEND_GRADE,0,,,
MODETRVL1,0,,,
MODETRVL2,0,,,
MODETRVL3,0,,,
NATT_REASON,0,,,
BASIC_LIT,6669,,skip; leakage,
BASIC_NUM,6669,,skip; leakage,
HGC_LEVEL,6669,,Default to N/A; 0 is early childhood educ.,Possible no early childhood educ even (e.g. Kinder)
HGC_GRADE,0,,,
DAYCARE,14597,,Default to 4 (No),
KINDER,15211,,Default to 4 (No),
SHS,356702,,Default to 4 (No),
SHS_TRACK,464659,,Default to N/A,If applicants answered NO or missing in SHS; most likely not applicable question
ALS,6669,,Default to 4,this means Not Applicable
WORK,73819,,Default to 2 - No,
WORK_TYPE_MAJOR,0,,,
WORK_CLASS,259378,,Default to N/A,No options say not applicable
NOWORK_REASON,0,,,
DIFF_SEEING,6669,,Default to 1,Maybe respondents have no difficulty whatsoever?
DIFF_HEARING,6669,,Default to 1,Maybe respondents have no difficulty whatsoever?
DIFF_WALKING,6669,,Default to 1,Maybe respondents have no difficulty whatsoever?
DIFF_REMEMBERING,6669,,Default to 1,Maybe respondents have no difficulty whatsoever?
DIFF_SELFCARE,6669,,Default to 1,Maybe respondents have no difficulty whatsoever?
DIFF_COMMUNICATING,6669,,Default to 1,Maybe respondents have no difficulty whatsoever?
MEM_RFACT,0,,,
PSU_F1,0,,,
BENEFICIARY_4PS,0,,,
CHILDREN_04,0,,,
ADULTS,390740,,Default to 2,Default to No - not taking care of children
GUARDIAN,425852,,Default to N/A,Default to No - not taking care of children
CHILD_FACILITY,0,,,
BUILDING,0,,,
ROOF,0,,,
WALL,0,,,
FLOOR_FINISH,0,,,
FLOOR_MAIN,0,,,
TENURE,0,,,
ELECTRICITY,0,,,
HH_REF,0,,,
HH_AIRCON,0,,,
HH_WASHING,0,,,
HH_OVEN,0,,,
HH_RADIO,0,,,
HH_ANATV,0,,,
HH_DIGITV,0,,,
HH_AUDIO,0,,,
HH_LANDLINE,0,,,
HH_BASICPHONE,0,,,
HH_SMARTPHONE,0,,,
HH_TABLET,0,,,
HH_PC,0,,,
HH_CAR,0,,,
HH_VAN,0,,,
HH_JEEP,0,,,
HH_TRUCK,0,,,
