Feature,Descriptive_Name,Importance
DSKILL_INFO2_1,Digital Skill: Information and data literacy: YES,0.2591968
INTERNET_1,Have you Used Internet in the past three (3) months?: YES  (Oo),0.1455486
INTERNET_2,Have you Used Internet in the past three (3) months?: NO (Hindi),0.085230604
DSKILL_CONT3_2,Digital Skill: Digital content creation: NO,0.059553497
NOWORK_REASON_ 1,Reason for not being employed: Still studying/planning to continue studies,0.051661827
DSKILL_INFO1_1,Digital Skill: Information and data literacy: YES,0.047426768
DSKILL_CONT5_2,Digital Skill: Digital content creation: NO,0.04186828
DSKILL_CONT2_2,Digital Skill: Digital content creation: NO,0.019922793
MM_OLNPAPER_2,Mass Media: Digital/Online Newspaper: Seldom (Bihira),0.016483756
DIFF_COMMUNICATING_1,"Difficulty in Communicating: No, no difficulty",0.01576545
DSKILL_CONT1_2,Digital Skill: Digital content creation: NO,0.014976856
ATTEND_SCHOOL_4,Currently Attending School: NO,0.013793005
MM_PNPAPER_2,Mass Media:  Printed Newspaper: Seldom (Bihira),0.013688033
DSKILL_PROB3_2,Digital Skill: Problem solving: NO,0.012580805
MM_MEETINGS_2,Mass Media: Attending Meetings: Seldom (Bihira),0.011181774
WORK_2,Job/Business: NO,0.011139818
AGE,Age (in Years),0.0108651025
PATHWAY_COLLEGE_2,Pathway Plan_Go to college/studies: NO,0.010368714
MSPORT_ 6,Primary Sport: Basketball,0.009605947
PATHWAY_STUDYABROAD_2,Pathway Plan_Study Abroad: NO,0.008834617
ATTEND_SCHOOL_1,"Currently Attending School: YES, PUBLIC",0.008343615
DIFF_REMEMBERING_1,"Difficulty in Remembering: No, no difficulty",0.0082746
MM_POSTERS_2,"Mass Media: Posters, Signs, Brochure, Flyers: Seldom (Bihira)",0.008023532
PATHWAY_OTHERS_2,Pathway Plan_Others: NO,0.0077177733
WORK_1,Job/Business: YES,0.007563851
DIFF_WALKING_1,"Difficulty in Walking: No, no difficulty",0.0074772923
MM_CONTENT_0,Mass Media: Create Content: Not Applicable (Hindi angkop),0.0071336483
MM_GSERV_0,Mass Media: Government Services: Not Applicable (Hindi angkop),0.0066171987
MSPORT_WHERE_1,Primary Sport_Where You Play It: based sports center sports center (Palaruan sa barangay/komunidad),0.006585616
DSKILL_COM1_1,Digital Skill: Communication and collaboration: YES,0.006537356
TVOCAT_1,Did you take Technical Vocational Competency Assessment Test: YES,0.0064429333
TVOCGRAD_1,Are you a graduate of TechVoc: based,0.0064318287
MM_MAGAZINE_2,"Mass Media:  Magazines, Comics, Books: Seldom (Bihira)",0.0063454923
MM_MEETINGS_0,Mass Media: Attending Meetings: Not Applicable (Hindi angkop),0.006162251
MM_REPORTS_0,Mass Media: Writing Report: Not Applicable (Hindi angkop),0.006072503
SPORTS_2,Have you engaged in sport last 12 months: NO (Hindi),0.0056218966
MM_ECOMMERCE_0,Mass Media: E-commerce Platform: Not Applicable (Hindi angkop),0.0056123165
SPORTS_1,Have you engaged in sport last 12 months: YES  (Oo),0.0052878964
DIFF_SELFCARE_1,"Difficulty in Self-Care: No, no difficulty",0.0052047153
TVOCBENE_11,Benefits/Assistance from Technical Vocational Course: No,0.005143682
TVOCCERT_3,Technical Vocational Certificate: Passed National Certificate Level II (NC II),0.0038557376
TVOCBENE_ 1,"Benefits/Assistance from Technical Vocational Course: Yes, Training for Work Scholarship Program (TWSP)",0.003851237
OF_PRESENT_2,Overseas Filipino Presence: NO,0.0
