Feature,Average_Impact_Magnitude,Effect_Direction,Policy_Interpretation,Descriptive_Name
DSKILL_INFO2_1,0.23509039,-0.9514481468631031,Decreases Risk,Digital Skill: Information and data literacy: YES
AGE,0.14335033,0.04776856075672138,Increases Risk,Age (in Years)
DSKILL_INFO1_1,0.10044774,-0.9216262170257113,Decreases Risk,Digital Skill: Information and data literacy: YES
DSKILL_CONT3_2,0.07650498,0.9173878038338645,Increases Risk,Digital Skill: Digital content creation: NO
INTERNET_1,0.07506971,-0.95608424524494,Decreases Risk,Have you Used Internet in the past three (3) months?: YES  (Oo)
NOWORK_REASON_ 1,0.06913025,-0.9371530711651581,Decreases Risk,Reason for not being employed: Still studying/planning to continue studies
INTERNET_2,0.06677797,0.9300124939097101,Increases Risk,Have you Used Internet in the past three (3) months?: NO (Hindi)
DSKILL_CONT5_2,0.061351895,0.9270531446467135,Increases Risk,Digital Skill: Digital content creation: NO
DSKILL_CONT2_2,0.056589093,0.8990883165433786,Increases Risk,Digital Skill: Digital content creation: NO
MM_PNPAPER_2,0.048062325,-0.9344563464447063,Decreases Risk,Mass Media:  Printed Newspaper: Seldom (Bihira)
ATTEND_SCHOOL_4,0.040369,0.788372741466684,Increases Risk,Currently Attending School: NO
MSPORT_ 6,0.03781738,0.938557739298907,Increases Risk,Primary Sport: Basketball
DSKILL_CONT1_2,0.03683544,0.7953840078225534,Increases Risk,Digital Skill: Digital content creation: NO
MM_MEETINGS_2,0.0365968,-0.8869671989596685,Decreases Risk,Mass Media: Attending Meetings: Seldom (Bihira)
MM_POSTERS_2,0.035967857,-0.8699409576344821,Decreases Risk,"Mass Media: Posters, Signs, Brochure, Flyers: Seldom (Bihira)"
DSKILL_PROB3_2,0.033469114,0.788650870138627,Increases Risk,Digital Skill: Problem solving: NO
ATTEND_SCHOOL_1,0.029635616,0.1888772507356851,Increases Risk,"Currently Attending School: YES, PUBLIC"
PATHWAY_WORKABROAD_2,0.028654866,0.29098359952880143,Increases Risk,Pathway Plan_Work Abroad: NO
WORK_2,0.027097685,-0.7427530598252974,Decreases Risk,Job/Business: NO
MM_OLNPAPER_2,0.02703846,-0.6989991562470348,Decreases Risk,Mass Media: Digital/Online Newspaper: Seldom (Bihira)
MM_MEETINGS_0,0.019401897,-0.833309577110369,Decreases Risk,Mass Media: Attending Meetings: Not Applicable (Hindi angkop)
WORK_1,0.01759063,-0.8258360996418412,Decreases Risk,Job/Business: YES
PATHWAY_COLLEGE_2,0.016374007,0.3296689345204451,Increases Risk,Pathway Plan_Go to college/studies: NO
MM_MAGAZINE_2,0.014583674,0.24663514987772034,Increases Risk,"Mass Media:  Magazines, Comics, Books: Seldom (Bihira)"
SPORTS_1,0.013565586,-0.7816823747896687,Decreases Risk,Have you engaged in sport last 12 months: YES  (Oo)
DSKILL_COM1_1,0.012772684,-0.6153778163382829,Decreases Risk,Digital Skill: Communication and collaboration: YES
PATHWAY_STUDYABROAD_2,0.012722078,0.7320565717161349,Increases Risk,Pathway Plan_Study Abroad: NO
MM_GSERV_0,0.009845682,0.7987900854343907,Increases Risk,Mass Media: Government Services: Not Applicable (Hindi angkop)
MM_CONTENT_0,0.008979542,-0.37996769094158456,Decreases Risk,Mass Media: Create Content: Not Applicable (Hindi angkop)
DIFF_COMMUNICATING_1,0.007451126,-0.8685796945936477,Decreases Risk,"Difficulty in Communicating: No, no difficulty"
DIFF_REMEMBERING_1,0.0072386013,-0.6604456328459302,Decreases Risk,"Difficulty in Remembering: No, no difficulty"
DIFF_WALKING_1,0.00667312,-0.4938943331265842,Decreases Risk,"Difficulty in Walking: No, no difficulty"
MM_ECOMMERCE_0,0.0052154693,-0.5290494236522814,Decreases Risk,Mass Media: E-commerce Platform: Not Applicable (Hindi angkop)
MM_REPORTS_0,0.0050302288,-0.09407547176569447,Decreases Risk,Mass Media: Writing Report: Not Applicable (Hindi angkop)
SPORTS_2,0.004539578,0.10292874685806673,Increases Risk,Have you engaged in sport last 12 months: NO (Hindi)
PATHWAY_OTHERS_2,0.0035435522,-0.3332379619810945,Decreases Risk,Pathway Plan_Others: NO
DIFF_SELFCARE_1,0.0030836107,-0.7136400724587382,Decreases Risk,"Difficulty in Self-Care: No, no difficulty"
TVOCAT_1,0.0028741653,-0.92854381914054,Decreases Risk,Did you take Technical Vocational Competency Assessment Test: YES
TVOCGRAD_1,0.002082206,-0.6390033163368153,Decreases Risk,Are you a graduate of TechVoc: based
TVOCBENE_11,0.0020002201,-0.7808512674235192,Decreases Risk,Benefits/Assistance from Technical Vocational Course: No
TVOCCERT_3,0.0011842506,-0.38722587269483166,Decreases Risk,Technical Vocational Certificate: Passed National Certificate Level II (NC II)
TVOCBENE_ 1,0.000844812,-0.5943192236237554,Decreases Risk,"Benefits/Assistance from Technical Vocational Course: Yes, Training for Work Scholarship Program (TWSP)"
